epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,13174.5,0.19319,0.19488,0.15633,0.79718,0.99984,0.99703,0.995,0.99161,0.99984,0.99703,0.995,0.98322,0.12811,0.15632,0.11514,0.8526,0.0008912,0.0008912,0.0008912
114,13291,0.20723,0.19983,0.1605,0.79901,0.99973,0.99703,0.995,0.99091,0.99973,0.99703,0.995,0.98065,0.12845,0.17051,0.10757,0.85218,0.0008813,0.0008813,0.0008813
115,13407.5,0.20402,0.21016,0.16114,0.79608,0.99981,0.99703,0.995,0.99124,0.99981,0.99703,0.995,0.98721,0.13244,0.14547,0.11432,0.84959,0.0008714,0.0008714,0.0008714
116,13524,0.18782,0.18767,0.1558,0.78793,0.99981,0.99703,0.995,0.99132,0.99981,0.99703,0.995,0.98781,0.12938,0.13443,0.12265,0.84896,0.0008615,0.0008615,0.0008615
117,13640.5,0.19115,0.19596,0.15343,0.79035,0.99983,0.99703,0.995,0.9895,0.99983,0.99703,0.995,0.98395,0.12541,0.13782,0.11983,0.85411,0.0008516,0.0008516,0.0008516
118,13757,0.18923,0.1945,0.15364,0.80053,0.99978,0.99703,0.995,0.99049,0.99978,0.99703,0.995,0.98336,0.13623,0.16284,0.11849,0.85624,0.0008417,0.0008417,0.0008417
119,13873.5,0.18846,0.18055,0.15301,0.79614,0.99983,0.99703,0.995,0.99277,0.99983,0.99703,0.995,0.98949,0.11605,0.13448,0.11939,0.85069,0.0008318,0.0008318,0.0008318
120,13990.1,0.18443,0.20022,0.15364,0.78942,0.99686,0.99703,0.995,0.99078,0.99686,0.99703,0.995,0.9841,0.12355,0.17301,0.12067,0.85379,0.0008219,0.0008219,0.0008219
121,14106.5,0.19511,0.19594,0.15556,0.80094,0.99984,0.99703,0.995,0.99231,0.99984,0.99703,0.995,0.96643,0.17056,0.21913,0.14582,0.85928,0.000812,0.000812,0.000812
122,14223,0.18197,0.17979,0.14975,0.79596,0.99984,0.99703,0.995,0.99147,0.99984,0.99703,0.995,0.98505,0.12413,0.12741,0.14801,0.8562,0.0008021,0.0008021,0.0008021
123,14339.5,0.18084,0.18438,0.15015,0.79782,0.99982,0.99703,0.995,0.99106,0.99982,0.99703,0.995,0.98687,0.14062,0.1509,0.1251,0.86091,0.0007922,0.0007922,0.0007922
124,14455.9,0.1932,0.19572,0.15319,0.79721,0.99984,0.99703,0.995,0.98999,0.99984,0.99703,0.995,0.98651,0.12462,0.13172,0.10117,0.85113,0.0007823,0.0007823,0.0007823
125,14572.4,0.18714,0.18502,0.15068,0.79935,0.99984,0.99703,0.995,0.99212,0.99984,0.99703,0.995,0.98609,0.13004,0.12382,0.1191,0.8484,0.0007724,0.0007724,0.0007724
126,14688.8,0.17923,0.19757,0.14911,0.79352,0.99976,0.99703,0.995,0.99204,0.99976,0.99703,0.995,0.9879,0.11613,0.14883,0.12459,0.85015,0.0007625,0.0007625,0.0007625
127,14805.3,0.19187,0.20267,0.15488,0.79262,0.99984,0.99703,0.995,0.98992,0.99984,0.99703,0.995,0.9859,0.13744,0.14175,0.12155,0.85837,0.0007526,0.0007526,0.0007526
128,14921.7,0.18295,0.18242,0.1504,0.80016,0.99984,0.99703,0.995,0.9916,0.99984,0.99703,0.995,0.98473,0.15328,0.17525,0.12334,0.86051,0.0007427,0.0007427,0.0007427
129,15038.2,0.18112,0.17973,0.14902,0.791,0.99984,0.99703,0.995,0.991,0.99984,0.99703,0.995,0.98004,0.16356,0.18658,0.11628,0.856,0.0007328,0.0007328,0.0007328
